Theme Camp Name,"In what ""genres"" would you classify your camp? Check all that apply.",Public Camp Description,present_in_forms_camps_csv,present_in_dust_camps_csv,prioritized_source
A Little Bit All Over The Place,"Serving Food, Jam band and art","Soup soup!!! We bring great food and well, whatever else we can muster up really. Smoked cookies, a table of stamps, paints and colored pencils, wire wrapping, jam sessions, and whatever else we manage to think of. At the end of the day we really are just A Little Bit All Over The Place.",True,True,dust/camps_forms.csv
Abiding Grove,"Bar, Wellness/Spiritual/Chill/Relaxed, Games / Play","Abiding Grove – Dudeism Camp\n\nStep into a laid-back sanctuary of play, story, and connection. Abiding Grove channels the spirit of Dudeism with a welcoming lounge atmosphere where burners can gather, unwind, and engage.\n\nMornings feature our Conspiracay Coffee Bar serving coffee and tea to ease into the day. As the sun sets, the space transforms into an open-air cinema with Lebowski-inspired films, paired with snacks and White Russians.\n\nThroughout the day, enjoy a variety of interactive games including Disc-O-Golf, bocce, Magic Stones, Truth-or-Dare Jenga, and classic dice and card games. Relax in our hammock-filled lounge and stay awhile.\n\nAbide, play, and connect.",True,True,dust/camps_forms.csv
Acid Communism,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed, political education and transformation of default world","What if default world didn’t exist? Join us in imagining a world where exploitative capitalism is not the only possible reality. We’ve got free food, interactive art, and community where we’re building a world where the burn can live everywhere. We are the original home of the Nail Polish Glory Hole! — insert your boring hand in the hole and get a glorious nail polish surprise! We also host the Sparkle Pony Express, where you can write letters to burners and deliver them by pony.",True,True,dust/camps_forms.csv
Ad Fontes,Music / Party,Vinyl Driven Twisted Disco,True,True,dust/camps_forms.csv
Adventures Beyond,Adults Only,"A camp centered around whimsy and fun through TTRPG systems like D&D and VTM, as well as some light foam sword fighting lessons during the day.",True,True,dust/camps_forms.csv
Ah-Mazing!,"Kids Welcome, Wellness/Spiritual/Chill/Relaxed",Stop by and play our maze wall ball game and other carnival-style games!,True,True,dust/camps_forms.csv
Astro-nots,Fake Science and Horror,"Where bad science makes great sense and the truth is actively avoided. We are the premier destination for reverse pioneers, certified tin foil engineers and amateur monster hunters. Our mission is to explore the deep cosmos, hidden forests and bottomless lakes using zero peer-reviewed data and 100% unadulterated imagination.",True,True,dust/camps_forms.csv
Bacchanalia,Serving Food,"Makers of mischief, rowdy revelers.",True,True,dust/camps_forms.csv
Banana Hammocks,"Serving Food, Bar, Wellness/Spiritual/Chill/Relaxed","You know us at Love Burn, you've enjoyed us at BRC now it's time to go TO THE MOON! Bananas, Hammocks and fun shenanigans!",True,True,dust/camps_forms.csv
Bark Park,"Serving Food, Kids Welcome, Adults Only, Wellness/Spiritual/Chill/Relaxed, SATURDAY MORNING PANCAKES!",Welcome to Camp Bark Park! A group of fun loving pups each on our own journey to share and explore the plethora of experiences at To The Moon! Stop by and rest your paws a bit in our large comfortable shade structure on your way to your next adventure!  Come share some wags at Camp Bark Park! DONT MISS OUT ON SATURDAY MORNING PANCAKES!,True,True,dust/camps_forms.csv
Bear Necessities,Wellness/Spiritual/Chill/Relaxed,A chill space to escape the heat and hydrate! We have ALL the Bear Necessities 🐻,True,True,dust/camps_forms.csv
Big Fluffy Cloud,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",The fluff that needs to be seen to be believed.,True,True,dust/camps_forms.csv
Big Spooky Energy,Were a haunted house,"Come join us for all things spooky! We have some carnival style games, a spooky chill space, and a full walk through haunted house. Whatever level of spooky youre into, we've got something for you!",True,True,dust/camps_forms.csv
Bingopalooza,"Fun, entertainment, a place to find home that is not in open camping. We hate getting lost.",BINGOPALOOZA is invading CENTER CAMP.\n\n🔥🎱🔥🎱🔥🔥🎱🔥🎱🔥🔥\n\nWe are bringing you a low budget production but high energy bingo with incredible gifts to win! We’ve got silly and oh shit I didn’t know I needed that gifts!\n\nThe only thing you need to bring is yourself and watch us professionally handle the balls! 😉\n\nIt’s not polished. It’s not sponsored. It is aggressively joyful.,True,True,dust/camps_forms.csv
CAMP NOT YOUR MOM,"Wellness/Spiritual/Chill/Relaxed, Known place for burners to find safety",camp home from home but I’m not your mom we are a ranger support camp for the loves that wonder so we can spacewalk safely also come take a picture with a pair of wings will have to where anyone can take a photo with this amazing tapestry,True,True,dust/camps_forms.csv
Cameo’s Closet,"Kids Welcome, Clothing Exchange","A clothing exchange with a boutique experience, offering glamorous garments, two fitting rooms, and a vanity drawer full of goodies like body glitter, temporary tattoos, and more!",True,True,dust/camps_forms.csv
Camp Camp,Wellness/Spiritual/Chill/Relaxed,Making our To The Moon Debut. Here to provide a fun comfortable cuddle space to hang out and recharge. Maybe some spontaneous yoga classes and dance workshops.,True,True,dust/camps_forms.csv
Camp Pretty Lights,"Music / Party, Adults Only","Come, be dazzled by our Pretty Lights and Shadowbox with friends both new and old. We are an original all-purpose hippie trap and beacon of luminescence. Join us for Metal Hour on Friday @ 4pm",True,True,dust/camps_forms.csv
Camp Procrastination,"Um... chill & relaxed, but not really ""wellness"".","We were going to write a cool-sounding description but got busy... it’s on our to-do list, really... But you can come by any time and absolve yourself of your *own* procrastination! Write down things you’ve been putting off onto one of our blank “to-do” lists. We’ll burn these in the temple burn... or maybe the next weekend in our backyard... depends on when we get around to it... to help give energy to the things you want to accomplish.  :)",True,True,dust/camps_forms.csv
Cool as Fuck!,Bar,We are a bar camp and we are Cool as Fuck!,True,True,dust/camps_forms.csv
Crappy Bar,Bar,Come for a crappy drink. Leave because of the crappy jokes. But don't be hatin' on our crappy music 'cuz we just happy to be here...maybe.,True,True,dust/camps_forms.csv
Creature Comforts,"Wellness/Spiritual/Chill/Relaxed, Giving/gifting","Uh-oh! Did you leave something small but mighty at camp??\n\nCreature Comforts is a cozy camp of seasoned burners offering the little things that make a big difference. From bandaids to earplugs, we’ve got you covered (we hope!). \n\nRooted in gifting and care, we try to help with the little things burners may have forgotten to keep you comfortable, grounded, and ready for the magic, day and night.",True,True,dust/camps_forms.csv
Cult of Pawpaw,"Music / Party, Adults Only",The largest native fruit in the USA. We rejoice him,True,True,dust/camps_forms.csv
DreamCamp,"Serving Food, Wellness/Spiritual/Chill/Relaxed",Come join us for mellow relaxation and connective nurturing.,True,True,dust/camps_forms.csv
EleMENTAL,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",Home of the Breakfast Bitches. Bevvy Bitches by night. Crafty Bitches welcome.,True,True,dust/camps_forms.csv
Fantasy Island,"Serving Food, Music / Party, Adults Only","Feeling adrift? Set sail for Fantasy Island and anchor yourself in good company, chill vibes, and alluring atmosphere, or splash around in our cool tunes. Fantasy Island, we'll be wading...",True,True,dust/camps_forms.csv
Flow As You Go,"Music / Party, Kids Welcome, Flow Arts","Daytime shaded flowzone with pop-up classes and chill music on decks\nA cool down spot for hot hippies.  Spin things, dance, or just hang out.\nCome as you are, flow as you go.",True,True,dust/camps_forms.csv
Fuzzy Wuzzy,"Music / Party, Bar, Wellness/Spiritual/Chill/Relaxed","Come join our psychedelic slumber party, to have all the fun with all your best friends you've always been wanting.",True,True,dust/camps_forms.csv
Galactic Printers,"Wellness/Spiritual/Chill/Relaxed,","Bring your spare clothes to us, and we'll jazz them up with our own blockprints! We'll have a variety of cosmic, hand-carved stamps and different ink colors to choose from.",True,True,dust/camps_forms.csv
Garden Party,"Serving Food, Music / Party, Kids Welcome, 24/7 open chill space","A little bit of Alice in Wonderland. A little bit of Little Shop of Horrors. A lot of whimsy and magic! Garden Party is a celebration of plants, pastries, people and participation! Join us for tea parties and merry making. Weary travelers welcome!",True,True,dust/camps_forms.csv
Georgia Peanuts,Serving Food,"Wikipedia says, boiled peanuts are widely consumed and available in an area of the Southern United States. That describes us exactly. Guests are welcome to enjoy a cup full of boiled, salty nuts. (Food Allergy Warning: May contain peanut products.). If you are needing a different kind of help, our favorite peanut, Lucy, will be offering psychiatric assistance at her booth.",True,True,dust/camps_forms.csv
Go Outside Nerd,Mediveal Rennfaire,We don't have time for worthless chime-ins. Grab a foam weapon and start swinging.,True,True,dust/camps_forms.csv
Heart Mechanics,Wellness/Spiritual/Chill/Relaxed,Get Attune-UP at our interactive empathy practice installation to open your heart and then draw or write what you find there on the Heart Car.,True,True,dust/camps_forms.csv
Heathen Life,"Music / Party, Bar, Adults Only","Your variably friendly neighborhood Heathens return. \nBigger, badder, louder and prouder, and more orange, than before. Come celebrate a return to one of our favorite burns with us. Seek respite from the blistering summer sun and cool down with a crafted cocktail, enjoy our easy listening lounge, and say hey to the neighbors while you're here!",True,True,dust/camps_forms.csv
Horrible Trip Sitters,"Music / Party, Bar,",Total melting zone this is where you come to melt and vibe - adult drinks glow toys and UV area with body paint. Poi area and space to relax and melt and plenty of music. Plus extra madness from special guests,True,True,dust/camps_forms.csv
Hydration Hoes,Serving water,Come get your throat wet 💦,True,False,forms/camps.csv
Jungle of Obscurities,Mailbox central,Looking for the rainbow mailboxes? Come here!,True,True,dust/camps_forms.csv
Just People,"Music / Party, Bar, Adults Only","Is it fun? If it is, we do it. If it's not, we cover it in liquor and do it anyway.\n\nAlso home of the Unprinciples and Every Burn Carry. Vote for your favorite truisms while you figure out what to do with your hands.",True,True,dust/camps_forms.csv
Kamp Khaos,"Music / Party, Gladiator Games / Full immersion play","Hello there! Kamp Khaos is here! We have landed upon this realm to bring you a sight beyond sanity! A fun filled family friendly place to drag your siblings, friends, or whomever and beat them in the face! We are a fully immersive combat-oriented gladiator event just itching for you to take the first step unto GLORY!!
    Do you have what it takes to claw your way to the top? Can you, the wandering hipster, crush the competition and proclaim yourself the absolute winner!?! Do you have it in you to take on grandma and her flying dentures of doom? Can you survive the humiliation of that walker grinding your bones to dust as you lie defeated and broken on the floor? WHO KNOWS?! Come let us find out in the realms of Kamp Khaos where everyone wins!",True,False,forms/camps.csv
Kamp Khaos Arena,,"Hello there! Kamp Khaos is here! We have landed upon this realm to bring you a sight beyond sanity! A fun filled family friendly place to drag your siblings, friends, or whomever and beat them in the face! We are a fully immersive combat-oriented gladiator event just itching for you to take the first step unto GLORY!!\n    Do you have what it takes to claw your way to the top? Can you, the wandering hipster, crush the competition and proclaim yourself the absolute winner!?! Do you have it in you to take on grandma and her flying dentures of doom? Can you survive the humiliation of that walker grinding your bones to dust as you lie defeated and broken on the floor? WHO KNOWS?! Come let us find out in the realms of Kamp Khaos where everyone wins!",False,True,dust/camps_forms.csv
Kamp Khaos Support Camp,,"Hello there! Kamp Khaos is here! We have landed upon this realm to bring you a sight beyond sanity! A fun filled family friendly place to drag your siblings, friends, or whomever and beat them in the face! We are a fully immersive combat-oriented gladiator event just itching for you to take the first step unto GLORY!!\n    Do you have what it takes to claw your way to the top? Can you, the wandering hipster, crush the competition and proclaim yourself the absolute winner!?! Do you have it in you to take on grandma and her flying dentures of doom? Can you survive the humiliation of that walker grinding your bones to dust as you lie defeated and broken on the floor? WHO KNOWS?! Come let us find out in the realms of Kamp Khaos where everyone wins!",False,True,dust/camps_forms.csv
Karaokemp!,"Music / Party, Kids Welcome",Live music day and night - performed by you!,True,True,dust/camps_forms.csv
LMK Enlightment - Art Support Team,"Music / Party, Kids Welcome","We are to support the LMK (Light, Music and Knowledge) Enlightment Art Project.\n\nWe will provide DJ capabilities and a variety of Live Music options as well as a whole program of LMK Audio/Visual Presets.  Don't miss our exclusive VIP Parties!!",True,True,dust/camps_forms.csv
Liminal,"Wellness/Spiritual/Chill/Relaxed, Art gallery",A gallery of fabric art providing glimpses into realms of wondrous fungus.,True,True,dust/camps_forms.csv
Little Bohemia House Party,Music / Party,"L.B. House Party. Bring your snacks, bring your drink, bring your dance! Connect with friends and shake your booty.",True,True,dust/camps_forms.csv
Mythalia,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",A land of myth and legend where stories come to life.,True,True,dust/camps_forms.csv
Nudie Misfits,"Bar, Adults Only, Lounge",Nudie Misfits is a clothing-optional non-sexualized nudist lounge for the loud and irreverent. Join us daily for Naked Cocktail Hour and Friday for Naked Charcuterie!,True,True,dust/camps_forms.csv
Patchwork Petal Parlor,"Kids Welcome, Wellness/Spiritual/Chill/Relaxed, Restful repose, cuddle puddle, lounge area","Wander into camp through the colorful pathways of The Lady Garden, our solar garden that's beautiful by the sun and transformative by the moon. Come inside the Patchwork Parlor and sit a spell in our cozy lounge. Visit our origami station to find a peaceful moment of creative Regenesis.",True,True,dust/camps_forms.csv
Ponder,Wellness/Spiritual/Chill/Relaxed,think about touching our orb,True,True,dust/camps_forms.csv
Psilocybe Garden,"Bar, Wellness/Spiritual/Chill/Relaxed, Liminal space rest-stop with a N/A electrolyte bar to accompany the art lounge, a space designed to recharge the body without boring the mind!","Step within this fairy ring and feel yourself become hypnotized by neon mycelium reaching up to 9FT, beckoning to come lay within, tempting you with trinkets, treats, and fancies of all kinds.",True,True,dust/camps_forms.csv
ReConnect Camp,"Kids Welcome, Wellness/Spiritual/Chill/Relaxed","✨Reconnect is your place to relax, refresh, and recharge.\nA space to regulate, get grounded, take a seat, and hydrate. We’re always open, and you’re always welcome.\n\nNestled close to the energy of our beautiful sound camps, Reconnect offers calming vibes without pulling you away from the action. Cool down, catch your breath, refill your canteen at our water station, and settle into our ample seating before heading back out to enjoy the experience.\n\nWe’re here to help you reset so you can keep going strong.\n\nCome by, take a moment, and reconnect.",True,True,dust/camps_forms.csv
Renegade Sound,Music / Party,Pop music all day and into the night,True,False,forms/camps.csv
Sacred Snack Shack,Wellness/Spiritual/Chill/Relaxed,"Sacred Snack Shack is a playful sanctuary for seekers, mystics, deep feelers and curious wanderers drawn to connection and inner exploration. Whether you’re decompressing, sharing late-night revelations, laughing with strangers-turned-friends or simply vibing in good company, this is a space to land exactly as you are. Come by and see what unfolds!",True,False,forms/camps.csv
Sacred Swarm,"Playground, performance space, ambient music laser lounge","Sacred Swarm is an immersive hive-inspired playground centered around a glowing 32-foot geodesic dome transformed into a surreal adult jungle gym for the senses. Inspired by the communal intelligence and matriarchal structure of a beehive, the dome becomes a living swarm of movement, spectacle, and collective energy, as “worker bees” swing, lounge, and buzz through this space designed for exploration, connection, play, and wonder.\n\nComplementing the playground is a communal altar honoring personal icons, ancestors, artists, and visionaries who inspire us. Participants are invited to contribute offerings and symbols celebrating the divinity within ourselves and the people who shape our lives.\n\nPart sacred sanctuary, part cosmic circus, Sacred Swarm invites you to rest, play, connect, and lose yourself in the hum of the hive.\n\n(Brought to you by Camp MEOWee WOWee)",True,True,dust/camps_forms.csv
Sandtasia,Wellness/Spiritual/Chill/Relaxed,"Like sands through the hourglass, so are the days of our lives.",True,True,dust/camps_forms.csv
Sensua,"Adults Only, Wellness/Spiritual/Chill/Relaxed",All things sensual,True,True,dust/camps_forms.csv
Space Clowns from Outer Space (IN YO SPACE!),Music / Party,A very completely well adjusted Clown brigade... weird,True,True,dust/camps_forms.csv
Spectral Subverse,"Music / Party, Bar","Welcome to a dimension where fire and photons collide! Our spectral stage will entrance the eye and ear, while our fire circle harbors the flame of performance all night long! Our LED dome is the perfect shaded getaway during those hot, sunny days, and blossoms into a web of colors at night. Come dance the night away and get lost in the maelstrom of the Subverse!",True,True,dust/camps_forms.csv
Starlit Sanctuary,"Serving Food, Kids Welcome, Wellness/Spiritual/Chill/Relaxed","A celestial haven for explorers of presence, connection, and curiosity. Step into a space alive with light, color, and play; where community thrives, creativity flows, and every moment invites wonder. Whether under the sun or stars, find a place to rest, recharge, and revel in the magic of being fully alive.",True,True,dust/camps_forms.csv
Sunshine Yoga Cafe,Wellness/Spiritual/Chill/Relaxed,"Looking for a soft place to land? Sunshine Yoga Cafe is your home-away-from-home for all things wellness. Come for our cafe, and stay for our daily yoga, meditation, and breathwork sessions. Get into the flow with us!\n\nBring your yoga mat, eye pillow, and your liquid vessel.\n\nAll times are subject to change with the weather, check the whiteboard for schedule updates.",True,True,dust/camps_forms.csv
Swag n Dab,"Music / Party, Bar, Kids Welcome, Wellness/Spiritual/Chill/Relaxed",A lounge with multiple artists,True,True,dust/camps_forms.csv
Temple of The Tea Monks,"Serving Food, Music / Party","The Temple of the Tea Monks is an inclusive gathering space for all sentient beings including humans, robots, and crickets. A tea monk’s brew is made using the finest teas, herbs and flowers. People come to the tent with their problems and leave with a lighter heart and a fresh brewed cup.",True,True,dust/camps_forms.csv
The BlackLit Moon,Wellness/Spiritual/Chill/Relaxed,"Step out of the chaos and into the glow.\nBlack Lit Moon is a sanctuary for the senses, a late-night lounge where ultraviolet light transforms everything into something a little more magical. Dripping in neon art, soft textures, and slow energy, this camp is built for decompression, connection, and quiet awe. \nSink into soft seating, let the black lights paint your skin in color, and breathe. Whether you're coming down from the night, escaping the heat, or just craving a softer frequency, this is your place to land.\nExpect ambient soundscapes, glowing installations, and a rotating canvas of bodies and art illuminated in electric hues. No pressure. No performance. Just presence.\nFind the moon. Follow the glow. Stay as long as you need.",True,True,dust/camps_forms.csv
The Broken Drum,"Music / Party, Bar, Kids Welcome, Kids welcome during the day, at night it tends to be more of an adults vibe but kids are always welcome",Yir favourite pub is back again! Bring your beleaguered wizzard butts for a sit and a drink (NA options available!). Trade in last year's robes for new frippery at the Damsel in dis dress.,True,True,dust/camps_forms.csv
The French Quarter,Serving Food,"Bonjour! Come visit us to relax and taste some cheeses, bread and wines you may have not tried before. We are also offering rope tastings, so you can experience wearing a rope harness, or just watching others get decorated with rope. Come visit the French Quarter",True,True,dust/camps_forms.csv
The Green Room,"Music / Party, Wellness/Spiritual/Chill/Relaxed","The Green Room is a soft, verdant anomaly in the lunar landscape. Step into the limelight, stay for a song. The stage is yours. Just don't deepthroat the mics.",True,True,dust/camps_forms.csv
The Parlour,Adults Only,"An all inclusive, safe space to come explore your feral side in a intimate eclectic dungeon atmosphere",True,True,dust/camps_forms.csv
The Surreal Saloon,"Wellness/Spiritual/Chill/Relaxed, Self-Care / Pre-Party / After-party wind-down","Wet your whistle at the Surreal Saloon! Saspirilla, face, body & nail support to get you READY for the burn & to reset/recharge afterwards. Relax and get WEIRD with us! Self-care has never been so surreal.",True,True,dust/camps_forms.csv
The Thirsty Frog Tavern,"Adults Only, Wellness/Spiritual/Chill/Relaxed",Conditioned air and good vibes,True,True,dust/camps_forms.csv
The Thrifty Pickle,chill/relaxed,"Are you thirsty? Is your wardrobe in need of a regensis? Let your rebirth begin at The Thrifty Pickle. Our bar meets free store will have you and your new self covered with fresh accessories, wearables for all sizes, and a variety of other novel treasures. If you're tired of your old vestments, you can leave them behind for the next pickler or save them for a rainy day.",True,True,dust/camps_forms.csv
The whimsy Van winkle store,"Music / Party, Kids Welcome, Adults Only","Camp Whimsy Van Winkle is a playful, immersive pop-up and lounge space offering a rotating collection of funky fashion, accessories, and adornments within a gifting-based experience. Come explore, get styled, and recharge in a cozy, whimsical environment.",True,False,forms/camps.csv
Timey Wimey,"Serving Food, Games",Timey wimey is the place you find on your late night wander! Swing by at night to chill by the fire and talk or come by during the day and play some games.,True,True,dust/camps_forms.csv
"Toys, Treats, and Tiny Things","Serving Food, Kids Welcome, Toys and Games","We have assorted toys for all ages to play with, Pepper's miniature forms of art, and Stabby's mobile macaroon stand that will be there at burn:30. Come play! We also are home to a hole for the Mooney Putt Portal, it's a very tiny hole so look hard for it.",True,True,dust/camps_forms.csv
Tranquilitea,Wellness/Spiritual/Chill/Relaxed,Tea and a Safe Space,True,True,dust/camps_forms.csv
Victory Surreal (art support for Kozyrev Echo & Fire Cups),Art Support,We are an art support camp for the Kozyrev Echo and Fire Cups art installations,True,True,dust/camps_forms.csv
Viva San Escobar!,"Music / Party, Kids Welcome, Serving Jokes",San Escobar... not just a destination but also a state of mind.... Viva!,True,True,dust/camps_forms.csv
Wasted Potential,"Music / Party, Kids Welcome, Wellness/Spiritual/Chill/Relaxed","Make your everyday trash into extraordinary art by day and check out our DJ sound creations by night.  Campers explore creativity through sustainable sculpting, painting and designing one-of-a-kind art pieces.  Wasted Potential continues the party into the night with music, ambient electronic quantum sound bath medicine and a live DJ!",True,True,dust/camps_forms.csv
Wayward Bud,Serving Food,"Wayward Bud is a cozy, come as you are camp full of warmth, weirdness, and good company. Drift in, enjoy art made by campers, build a bowl at our late-night ramen bar, and stay a while for a delightfully wayward vibe.",True,True,dust/camps_forms.csv
Wood Petter's Lounge,"Music / Party, Bar","Lounge/Bar Area with Cool Wood Art, Dope Beats, Fire, and maybe a drink for you.",True,True,dust/camps_forms.csv
World Spirits,Bar,"World Spirits is more than a bar. It's a chance to taste the world! Each year we raise a glass to a handful of countries with their most beloved (or infamous) liquor and share the story of its origin. What's more, we gamify the experience so that you can be involved, surprised and delighted!",True,True,dust/camps_forms.csv
camp gay,"Music / Party, Adults Only, Wellness/Spiritual/Chill/Relaxed","if you enter this camp, ur gay <3 xo",True,True,dust/camps_forms.csv
fablous hobo kamp,working at Center Kamp / art depto ❤️,Hobo arts and things,True,True,dust/camps_forms.csv
