"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"23096","Banana Lounge & Hammock Forest","Come relax! Open 24 hours! \nNo Shoes inside!","Diversity & Inclusion,Self Care","Banana Hammocks","2026-06-04T00:00:00","2026-06-05T00:00:00","Thursday - All Day","Thu, Jun 4","Midnight (24hrs)","00:00","00:00"
"22997","Gifting Table","Gifting Table for people to enjoy","Arts & Crafts","Grotto - Open Community Space","2026-06-04T09:00:00","2026-06-04T21:00:00","Thursday 9am-9pm (12hrs)","Thu, Jun 4","9am (12hrs)","09:00","21:00"
"23010","Mooney Putt Portals","Mooney Putt Portals\nInterdimensional mini golf experiment\nHow it works\n•	There are 9 portals—visit in any order.\n•	Use the map to hunt them down.\n•	Keep score—weird trophies and shiny prizes lurk.\n•	Claim a sticker. Adorn your self or your stuff.\n•	Putters and balls live at each hole—please leave them in their native realm.\n•	Bring your own freaky putter for a 3 stroke bonus.\n•	Share the magic: don’t whack humans.\n•	Putt, giggle, repeat.\nStep through a portal and play a hole!","Game","Swag n Dab","2026-06-04T09:00:00.000","2026-06-05T00:00:00.000","Thursday 9am-Midnight (15hrs)","Thu, Jun 4","9am (15hrs)","09:00","00:00"
"23009","Morning Coffee & Tea","🛸🐮 Conspiracy Coffee ☕ :\nGive a Conspiracy for every Coffee ☕, a Theory for every Tea 🫖, but the Marie Antoinette cakes are Free 🧁.","Food","Abiding Grove","2026-06-04T09:30:00.000","2026-06-04T12:30:00.000","Thursday 9:30am-12:30pm (3hrs)","Thu, Jun 4","9:30am (3hrs)","09:30","12:30"
"20876","Breakfast delights","More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.","Food & Drink","A Little Bit All Over The Place","2026-06-04T10:00:00","2026-06-04T11:00:00","Thursday 10am-11am (1hr)","Thu, Jun 4","10am (1hr)","10:00","11:00"
"23092","Ice Sales 🧊","7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.","Miscellaneous","DPW (Dept of Public Works)","2026-06-04T10:00:00","2026-06-04T14:00:00","Thursday 10am-2pm (4hrs)","Thu, Jun 4","10am (4hrs)","10:00","14:00"
"23011","Moment of Peace Sober Sesh Burner Meetup","A chance for all burners who are burning clean, in Recovery, Sober, or even just sober-curious, to meet like-minded burners and check-in with each other. It's a great way to grow your network of support for whatever your path may be. ALL ARE WELCOME!!","Self Care","Grotto - Open Community Space","2026-06-04T11:00:00.000","2026-06-04T12:00:00.000","Thursday 11am-Noon (1hr)","Thu, Jun 4","11am (1hr)","11:00","12:00"
"23050","Misting station and Igloo!","will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!","Self Care","Bear Necessities","2026-06-04T12:00:00","2026-06-04T17:00:00","Thursday Noon-5pm (5hrs)","Thu, Jun 4","Noon (5hrs)","12:00","17:00"
"23000","upside down time (headstands)","Get out of you head, and onto it! Headstands for beginners - simple, safe and fun!","Class/Workshop,Yoga/Movement/Fitness","Flow As You Go","2026-06-04T13:00:00","2026-06-04T13:30:00","Thursday 1pm-1:30pm (30mins)","Thu, Jun 4","1pm (30mins)","13:00","13:30"
"23092","Ice Sales 🧊","7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.","Miscellaneous","DPW (Dept of Public Works)","2026-06-04T14:00:00","2026-06-04T17:00:00","Thursday 2pm-5pm (3hrs)","Thu, Jun 4","2pm (3hrs)","14:00","17:00"
"23095","Sno Cones!","Give your mouth the pleasure of some delicious sno cones! Bring a cup!","Diversity & Inclusion,Food & Drink,For Kids","Banana Hammocks","2026-06-04T14:00:00","2026-06-04T16:00:00","Thursday 2pm-4pm (2hrs)","Thu, Jun 4","2pm (2hrs)","14:00","16:00"
"23003","The Burn is a Kaleidoscope","Join us at Big Fluffy Cloud to make your own open-ended kaleidoscope and see the burn in a whole new way!","Workshop","Big Fluffy Cloud","2026-06-04T15:00:00","2026-06-04T16:00:00","Thursday 3pm-4pm (1hr)","Thu, Jun 4","3pm (1hr)","15:00","16:00"
"23071","The Next Generation - Meet up for Minors","Hosted by the Garden Party kids, this meet up is for the next generation of burners and the people who are raising them! Make new connections and get tips on burning with kids from kids.","For Kids","Garden Party","2026-06-04T15:00:00","2026-06-04T16:00:00","Thursday 3pm-4pm (1hr)","Thu, Jun 4","3pm (1hr)","15:00","16:00"
"23004","Synesthetic Ritual of Sensory Surrender","Reset your senses. Join us for an immersive experience featuring four-hand massage, warm wax, and violet wand electricity. From the grounding rhythm of impact to the enveloping waves of light and sound, we invite you into a high-sensory environment created to stimulate and heighten presence.","Ritual/Ceremony","Sensua","2026-06-04T16:00:00","2026-06-04T18:00:00","Thursday 4pm-6pm (2hrs)","Thu, Jun 4","4pm (2hrs)","16:00","18:00"
"23057","How We Roll - 101","Come join fellow Dudes at Abiding Grove for a workshop on the finer art of rolling like a Duder. Former resident Dudeist Priest of Amsterdam, Cake Man, will guide aspiring rollers through shaping techniques and the gentle philosophy behind the craft. Bring your own supplies to roll with, though we'll have some of the Dude's business papers available on-site. Relaxed vibes and curious minds welcome.\nThursday • 4:20 PM • ~60 min","Class/Workshop","Abiding Grove","2026-06-04T16:15:00","2026-06-04T17:15:00","Thursday 4:15pm-5:15pm (1hr)","Thu, Jun 4","4:15pm (1hr)","16:15","17:15"
"23087","Ranger Training","This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.","Class/Workshop","Ranger HQ","2026-06-04T17:00:00","2026-06-04T18:30:00","Thursday 5pm-6:30pm (1.5hrs)","Thu, Jun 4","5pm (1.5hrs)","17:00","18:30"
"20957","Karaoke","We will be hosting kwraoke while we are cooking and serving food!","Food & Drink,Gathering/Party","A Little Bit All Over The Place","2026-06-04T18:00:00","2026-06-04T21:00:00","Thursday 6pm-9pm (3hrs)","Thu, Jun 4","6pm (3hrs)","18:00","21:00"
"22998","Flow As You Go - Grotto flow jam","Open flow jam - flow as you go","Gathering/Party","Grotto - Open Community Space","2026-06-04T18:00:00","2026-06-04T23:00:00","Thursday 6pm-11pm (5hrs)","Thu, Jun 4","6pm (5hrs)","18:00","23:00"
"23090","Fire Safety Meeting","Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!","Class/Workshop","Effigy Burn Field","2026-06-04T18:00:00","2026-06-04T19:00:00","Thursday 6pm-7pm (1hr)","Thu, Jun 4","6pm (1hr)","18:00","19:00"
"23019","Drum Circle","Calling all drummers, dancers, rhythm chasers & vibe makers. We’re forming a drum circle near the temple at 6:30PM. Bring your drum.\nBring your feet.\nBring your energy.\n\nOr just bring yourself and jump in. Follow the sound. Find the circle.","Music","Temple","2026-06-04T18:30:00.000","2026-06-04T20:30:00.000","Thursday 6:30pm-8:30pm (2hrs)","Thu, Jun 4","6:30pm (2hrs)","18:30","20:30"
"20875","Soup!!!! Soup!!!!","Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.","Food & Drink","A Little Bit All Over The Place","2026-06-04T20:00:00","2026-06-04T21:00:00","Thursday 8pm-9pm (1hr)","Thu, Jun 4","8pm (1hr)","20:00","21:00"
"23082","Sanctuary Volunteers Meet and Greet","A meet and greet for the Sanctuary volunteers. Get to know the leads and meet your fellow support staff. Have questions? This is a great time to get answers and see the space. Thank you for volunteering with Sanctuary!","Miscellaneous","Sanctuary","2026-06-04T20:00:00","2026-06-04T21:00:00","Thursday 8pm-9pm (1hr)","Thu, Jun 4","8pm (1hr)","20:00","21:00"
"23085","Meowgarita party!","Dust off your whiskers and brush off your fancy ears and slip on your finest feline flair for a night of purrfectly unhinged decadence. We’re serving custom cat-themed margaritas, glowing vibes, and enough cat ears to summon nine lives’ worth of chaos.\n\nCome dressed as a sassy housecat, ferocious tiger, mysterious sphinx, disco panther, or whatever strange creature inspires.\n\nExpect roaming cats, fuzzy fashion, and late-night mischief under the stars.\n\nNo humans allowed. Only cats in disguise.","Food & Drink","Cool as Fuck!","2026-06-04T20:00:00","2026-06-04T22:00:00","Thursday 8pm-10pm (2hrs)","Thu, Jun 4","8pm (2hrs)","20:00","22:00"
"23045","Haunted House","Come check out our walk through haunted house filled with illusions, animatronics, and live actors.","Miscellaneous,Performance","Big Spooky Energy","2026-06-04T22:00:00","2026-06-05T00:00:00","Thursday 10pm-Midnight (2hrs)","Thu, Jun 4","10pm (2hrs)","22:00","00:00"
"23002","The Dude's Cinema","Abiding Grove Walk-In Cinema showing The Big Lebowski and other Dudely movies.\nWe've got beverages and snacks, while you sit back and enjoy some classic cinema. Movies start around 11:00 pm at night.","Performance","Abiding Grove","2026-06-04T23:00:00.000","2026-06-05T02:00:00","Thursday 11pm-2am (3hrs)","Thu, Jun 4","11pm (3hrs)","23:00","02:00"
"23096","Banana Lounge & Hammock Forest","Come relax! Open 24 hours! \nNo Shoes inside!","Diversity & Inclusion,Self Care","Banana Hammocks","2026-06-05T00:00:00","2026-06-06T00:00:00","Friday - All Day","Fri, Jun 5","Midnight (24hrs)","00:00","00:00"
"23084","Guided Journey into the Elven Realm","Wind down from the party with a guided meditation. Step through the Portal with me to meet the elves and explore their bioluminescent realm as they support us in our Regenesis. We wash away the old outdated versions of us and they nurture our new growth, celebrating the You that you get to discover anew.","Ritual/Ceremony,Self Care","The Faerie Portal (Reconnect Camp)","2026-06-05T00:00:00","2026-06-05T00:30:00","Friday Midnight-12:30am (30mins)","Fri, Jun 5","Midnight (30mins)","00:00","00:30"
"22997","Gifting Table","Gifting Table for people to enjoy","Arts & Crafts","Grotto - Open Community Space","2026-06-05T09:00:00","2026-06-05T21:00:00","Friday 9am-9pm (12hrs)","Fri, Jun 5","9am (12hrs)","09:00","21:00"
"23010","Mooney Putt Portals","Mooney Putt Portals\nInterdimensional mini golf experiment\nHow it works\n•	There are 9 portals—visit in any order.\n•	Use the map to hunt them down.\n•	Keep score—weird trophies and shiny prizes lurk.\n•	Claim a sticker. Adorn your self or your stuff.\n•	Putters and balls live at each hole—please leave them in their native realm.\n•	Bring your own freaky putter for a 3 stroke bonus.\n•	Share the magic: don’t whack humans.\n•	Putt, giggle, repeat.\nStep through a portal and play a hole!","Game","Swag n Dab","2026-06-05T09:00:00.000","2026-06-06T00:00:00.000","Friday 9am-Midnight (15hrs)","Fri, Jun 5","9am (15hrs)","09:00","00:00"
"23009","Morning Coffee & Tea","🛸🐮 Conspiracy Coffee ☕ :\nGive a Conspiracy for every Coffee ☕, a Theory for every Tea 🫖, but the Marie Antoinette cakes are Free 🧁.","Food","Abiding Grove","2026-06-05T09:30:00.000","2026-06-05T12:30:00.000","Friday 9:30am-12:30pm (3hrs)","Fri, Jun 5","9:30am (3hrs)","09:30","12:30"
"20876","Breakfast delights","More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.","Food & Drink","A Little Bit All Over The Place","2026-06-05T10:00:00","2026-06-05T11:00:00","Friday 10am-11am (1hr)","Fri, Jun 5","10am (1hr)","10:00","11:00"
"23092","Ice Sales 🧊","7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.","Miscellaneous","DPW (Dept of Public Works)","2026-06-05T10:00:00","2026-06-05T14:00:00","Friday 10am-2pm (4hrs)","Fri, Jun 5","10am (4hrs)","10:00","14:00"
"23011","Moment of Peace Sober Sesh Burner Meetup","A chance for all burners who are burning clean, in Recovery, Sober, or even just sober-curious, to meet like-minded burners and check-in with each other. It's a great way to grow your network of support for whatever your path may be. ALL ARE WELCOME!!","Self Care","Grotto - Open Community Space","2026-06-05T11:00:00.000","2026-06-05T12:00:00.000","Friday 11am-Noon (1hr)","Fri, Jun 5","11am (1hr)","11:00","12:00"
"23056","Pole Abiding 101","Pole Abiding 101\nFriday • 11:00 AM • ~90 min\nThe Dude way is balance, flow, and not fighting the universe too hard. Join Smooth for a beginner-friendly outdoor pole dance session where style matters less than attitude. Come laugh, move around, and discover that maybe the pole isn't the enemy here. Weather permitting. Bar beverages available because hydration is part of the path.","Class/Workshop","Abiding Grove","2026-06-05T11:00:00","2026-06-05T12:30:00","Friday 11am-12:30pm (1.5hrs)","Fri, Jun 5","11am (1.5hrs)","11:00","12:30"
"23070","Elven Elixirs","Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.","Food & Drink","Reconnect Camp","2026-06-05T11:00:00","2026-06-05T15:00:00","Friday 11am-3pm (4hrs)","Fri, Jun 5","11am (4hrs)","11:00","15:00"
"23050","Misting station and Igloo!","will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!","Self Care","Bear Necessities","2026-06-05T12:00:00","2026-06-05T17:00:00","Friday Noon-5pm (5hrs)","Fri, Jun 5","Noon (5hrs)","12:00","17:00"
"23018","Flogger Making","Make your own flogger from recycled materials. We supply the materials.","Workshop","Sensua","2026-06-05T12:00:00","2026-06-05T14:00:00","Friday Noon-2pm (2hrs)","Fri, Jun 5","Noon (2hrs)","12:00","14:00"
"23020","Come as you are, flow as you go - open flow with music and friends","Flow as you go is an interactive collaboration of flow, musical, and visual arts, and we invite you to come as you are, flow as you go! We have djs spinning chill music daily from 12-8pm. So bring some props and enjoy a shaded flow space, or cool off in our oasis  While our flow area will only feature live music from 12-8pm, please note we do have a flow area for use anytime of day!","Music","Flow As You Go","2026-06-05T12:00:00","2026-06-05T20:00:00","Friday Noon-8pm (8hrs)","Fri, Jun 5","Noon (8hrs)","12:00","20:00"
"23048","Seafood boil brunch!","We will be serving up a Louisiana style seafood boil! complete with crab legs, crawfish, shrimps, sausage, corn, and taters!! served in a kiddie pool with TONS of butter! (until we run out) bring your own mimosas if you want them! we only will be serving sweet tea at our bar!","Food & Drink","Bear Necessities","2026-06-05T12:00:00","2026-06-05T13:00:00","Friday Noon-1pm (1hr)","Fri, Jun 5","Noon (1hr)","12:00","13:00"
"23073","Way Holder Braiding Circle","Come weave threads and shinies into a section of your hair to anchor in an intention - a goal, project, or simply your chosen life path. \n\nSupplies provided, but if you have any charms or anything you wish to weave in to yours, you're welcome to bring it!","Class/Workshop,Ritual/Ceremony","Reconnect Camp","2026-06-05T13:00:00","2026-06-05T14:00:00","Friday 1pm-2pm (1hr)","Fri, Jun 5","1pm (1hr)","13:00","14:00"
"23092","Ice Sales 🧊","7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.","Miscellaneous","DPW (Dept of Public Works)","2026-06-05T14:00:00","2026-06-05T17:00:00","Friday 2pm-5pm (3hrs)","Fri, Jun 5","2pm (3hrs)","14:00","17:00"
"23095","Sno Cones!","Give your mouth the pleasure of some delicious sno cones! Bring a cup!","Diversity & Inclusion,Food & Drink,For Kids","Banana Hammocks","2026-06-05T14:00:00","2026-06-05T16:00:00","Friday 2pm-4pm (2hrs)","Fri, Jun 5","2pm (2hrs)","14:00","16:00"
"22717","Gluten Free Friday Tea Party","Radical Inclusion through food! The Gluten Free Friday Tea Party is a celebration of and for all of us with tummy troubles! In order to avoid cross contamination, I am partnering with a bakery that describes itself as:\n\nCertified gluten-free by the National Celiac Association and entirely wheat-free, seed oil-free, nut-free, vegan, dairy-free, egg-free, seed-free & natural dyes only. \n\nWe will have all kinds of safe snacks, tea, and a social hour where you are welcome to say as much about the gory details of your tummy troubles as you want or absolutely nothing at all about them. 🩷❤️🩷","Food & Drink","Garden Party","2026-06-05T14:00:00","2026-06-05T17:00:00","Friday 2pm-5pm (3hrs)","Fri, Jun 5","2pm (3hrs)","14:00","17:00"
"23003","The Burn is a Kaleidoscope","Join us at Big Fluffy Cloud to make your own open-ended kaleidoscope and see the burn in a whole new way!","Workshop","Big Fluffy Cloud","2026-06-05T15:00:00","2026-06-05T16:00:00","Friday 3pm-4pm (1hr)","Fri, Jun 5","3pm (1hr)","15:00","16:00"
"23087","Ranger Training","This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.","Class/Workshop","Ranger HQ","2026-06-05T15:00:00","2026-06-05T16:30:00","Friday 3pm-4:30pm (1.5hrs)","Fri, Jun 5","3pm (1.5hrs)","15:00","16:30"
"23064","Metal Hour!","Need a break from the EDM while you are on the Moon? Join Camp Pretty Lights on Friday afternoon at 3pm for some METAL! \nWe'll be blasting some head-banging tunes 🎶 featuring deep cuts of our favorite bands. Bring your ID, we will have refreshments for those old enough!","Gathering/Party","Camp Pretty Lights","2026-06-05T15:00:00","2026-06-05T16:00:00","Friday 3pm-4pm (1hr)","Fri, Jun 5","3pm (1hr)","15:00","16:00"
"22994","Principles Round Table","Educational workshop discussing the principles.","Class/Workshop","Grotto - Open Community Space","2026-06-05T16:00:00","2026-06-05T17:00:00","Friday 4pm-5pm (1hr)","Fri, Jun 5","4pm (1hr)","16:00","17:00"
"23015","Interdimensional Moon Juice and Nail Art","Come wet your whistle at the Surreal Saloon! We will be serving NON-alcoholic electrolyte fueled beverages to power you through your burn. You can also partake in our nail services to dress your lovely self up for a weekend of fancy fun. Come join us for an afternoon of moon juice, nail decor, and self-care!","Arts & Crafts,Food & Drink,Miscellaneous","The Surreal Saloon","2026-06-05T16:20:00.000","2026-06-05T17:20:00.000","Friday 4:20pm-5:20pm (1hr)","Fri, Jun 5","4:20pm (1hr)","16:20","17:20"
"23046","Pickle Back Happy Hour","Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!","Food & Drink","The Thrifty Pickle","2026-06-05T17:00:00","2026-06-05T19:00:00","Friday 5pm-7pm (2hrs)","Fri, Jun 5","5pm (2hrs)","17:00","19:00"
"23080","Tea Service in The Grotto","This year the Tea Monks will providing a mobile tea service. come have tea with a tea monk in the beautiful Grotto. or find us pedaling around The Moon.","Food & Drink","Grotto - Open Community Space","2026-06-05T17:00:00","2026-06-05T19:00:00","Friday 5pm-7pm (2hrs)","Fri, Jun 5","5pm (2hrs)","17:00","19:00"
"23090","Fire Safety Meeting","Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!","Class/Workshop","Effigy Burn Field","2026-06-05T18:00:00","2026-06-05T19:00:00","Friday 6pm-7pm (1hr)","Fri, Jun 5","6pm (1hr)","18:00","19:00"
"20958","open mic","we will be hosting an open mic while cooking and serving food.","Live Music,Performance","A Little Bit All Over The Place","2026-06-05T18:00:00","2026-06-05T21:00:00","Friday 6pm-9pm (3hrs)","Fri, Jun 5","6pm (3hrs)","18:00","21:00"
"23021","Cheese Tasting","Come to the French Quarter to taste a selection of fancy and interesting cheeses you may not have tried before!","Food","The French Quarter","2026-06-05T18:00:00","2026-06-05T19:30:00","Friday 6pm-7:30pm (1.5hrs)","Fri, Jun 5","6pm (1.5hrs)","18:00","19:30"
"23047","Too Many Clowns","Are you down to clown? Prove it! Put on your big ol’ shoes and join us! Meet up at 6, walkabout at 7","Gathering/Party","The Thrifty Pickle","2026-06-05T18:00:00","2026-06-05T19:30:00","Friday 6pm-7:30pm (1.5hrs)","Fri, Jun 5","6pm (1.5hrs)","18:00","19:30"
"23012","Molten Moments: A Live Glassworking Experience","Take a captivating look into flame-worked glass, where fire and artistry converge. Watch raw glass rods transform under intense heat and delicate control into intricate forms. This demo highlights key tools, safety practices, and techniques—revealing how precision and temperature shape the craft. Perfect for newcomers and seasoned creatives, it offers a close-up view of chemistry and creativity in glowing harmony. Stay after to ask questions and explore the tools behind the magic.","Performance","Spectral Subverse","2026-06-05T19:00:00.000","2026-06-05T21:00:00.000","Friday 7pm-9pm (2hrs)","Fri, Jun 5","7pm (2hrs)","19:00","21:00"
"23030","Brother Jon's Birthday","Do you know Brother Jon (once known as Beef Supreme,)? Did you know he's a year older as of June 5th? Well, now you do and you are invited to his birthday party. There will be music, booze, snacks, merry making, and Brother Jon.","Food & Drink,Gathering/Party","Heathen Life","2026-06-05T19:00:00","2026-06-05T20:00:00","Friday 7pm-8pm (1hr)","Fri, Jun 5","7pm (1hr)","19:00","20:00"
