Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?"
,Banana Lounge & Hammock Forest,Banana Hammocks,"Thursday, June 4",12:00:00 AM,12:00:00 AM,Event,Come relax! Open 24 hours! \nNo Shoes inside!,
,Gifting Table,Grotto - Open Community Space,"Thursday, June 4",09:00:00 AM,09:00:00 PM,Workshop,Gifting Table for people to enjoy,
,Breakfast delights,A Little Bit All Over The Place,"Thursday, June 4",10:00:00 AM,11:00:00 AM,Food,"More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.",
,Ice Sales 🧊,DPW (Dept of Public Works),"Thursday, June 4",10:00:00 AM,02:00:00 PM,Other,"7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.",
,Misting station and Igloo!,Bear Necessities,"Thursday, June 4",12:00:00 PM,05:00:00 PM,Chill,will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!,
,ɹǝʌᴉɹ /ʍ ǝɯᴉʇ uʍop ǝpᴉsdn  (Upside down time w/ River),Flow As You Go,"Thursday, June 4",01:00:00 PM,01:30:00 PM,Workshop,"Get out of you head, and onto it! \nHeadstands for beginners - simple, safe and fun!",
,Bare & Boozy Cocktail Hour,Nudie Misfits,"Thursday, June 4",02:00:00 PM,03:00:00 PM,Food,"Shed your inhibitions (and anything else) for the most liberating happy hour, where birthday suits are encouraged and the drinks flow as freely as the radical self-expression.\nSip cocktails and toast to body positivity, good vibes, and questionable tan lines. No shirt, no shoes, bare butt — no problem!",
,Sno Cones!,Banana Hammocks,"Thursday, June 4",02:00:00 PM,04:00:00 PM,Event,Give your mouth the pleasure of some delicious sno cones! Bring a cup!,
,The Burn is a Kaleidoscope,Big Fluffy Cloud,"Thursday, June 4",03:00:00 PM,04:00:00 PM,Workshop,Join us at Big Fluffy Cloud to make your own open-ended kaleidoscope and see the burn in a whole new way!,
,The Next Generation - Meet up for Minors,Garden Party,"Thursday, June 4",03:00:00 PM,04:00:00 PM,Event,"Hosted by the Garden Party kids, this meet up is for the next generation of burners and the people who are raising them! Make new connections and get tips on burning with kids from kids.",
,Synesthetic Ritual of Sensory Surrender,Sensua,"Thursday, June 4",04:00:00 PM,06:00:00 PM,Event,"Reset your senses. Join us for an immersive experience featuring four-hand massage, warm wax, and violet wand electricity. From the grounding rhythm of impact to the enveloping waves of light and sound, we invite you into a high-sensory environment created to stimulate and heighten presence.",
,How We Roll - 101,Abiding Grove,"Thursday, June 4",04:15:00 PM,05:15:00 PM,Workshop,"Come join fellow Dudes at Abiding Grove for a workshop on the finer art of rolling like a Duder. Former resident Dudeist Priest of Amsterdam, Cake Man, will guide aspiring rollers through shaping techniques and the gentle philosophy behind the craft. Bring your own supplies to roll with, though we'll have some of the Dude's business papers available on-site. Relaxed vibes and curious minds welcome.\nThursday • 4:20 PM • ~60 min",
,Ranger Training,Ranger HQ,"Thursday, June 4",05:00:00 PM,06:30:00 PM,Workshop,"This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.",
,Taking Space 2 Dance w/ Your Dragon w/ Christal,Flow As You Go,"Thursday, June 4",05:00:00 PM,06:00:00 PM,Workshop,Taking Space 2 Dance w/ Your Dragon w/ Christal,
,Fire Safety Meeting,Effigy Burn Field,"Thursday, June 4",06:00:00 PM,07:00:00 PM,Workshop,"Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",
,Flow As You Go - Grotto flow jam,Grotto - Open Community Space,"Thursday, June 4",06:00:00 PM,10:00:00 PM,Party,"Open flow jam - flow as you go\nFunsized, Decoy & friends",
,Karaoke,A Little Bit All Over The Place,"Thursday, June 4",06:00:00 PM,09:00:00 PM,Food,We will be hosting kwraoke while we are cooking and serving food!,
,Opening Ceremony and Grounding Breathwork,Sunshine Yoga Cafe,"Thursday, June 4",06:30:00 PM,07:30:00 PM,Event,"Let’s open this space with intention and call ourselves home. \n\nAfter the flurry of arrival and the energy of setting up camp, join us to drop out of the doing and into the being. \n\nThrough gentle, grounding breath work and shared presence, we will root ourselves into the earth, connect with ourselves, and set a collective intention for the beautiful weekend ahead. \n\nWelcome home.",
,Meowgarita party!,Cool as Fuck!,"Thursday, June 4",08:00:00 PM,10:00:00 PM,Food,"Dust off your whiskers and brush off your fancy ears and slip on your finest feline flair for a night of purrfectly unhinged decadence. We’re serving custom cat-themed margaritas, glowing vibes, and enough cat ears to summon nine lives’ worth of chaos.\n\nCome dressed as a sassy housecat, ferocious tiger, mysterious sphinx, disco panther, or whatever strange creature inspires.\n\nExpect roaming cats, fuzzy fashion, and late-night mischief under the stars.\n\nNo humans allowed. Only cats in disguise.",
,Sanctuary Volunteers Meet and Greet,Sanctuary,"Thursday, June 4",08:00:00 PM,09:00:00 PM,Other,A meet and greet for the Sanctuary volunteers. Get to know the leads and meet your fellow support staff. Have questions? This is a great time to get answers and see the space. Thank you for volunteering with Sanctuary!,
,Soup!!!! Soup!!!!,A Little Bit All Over The Place,"Thursday, June 4",08:00:00 PM,09:00:00 PM,Food,"Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.",
,Haunted House,Big Spooky Energy,"Thursday, June 4",10:00:00 PM,12:00:00 AM,Other,"Come check out our walk through haunted house filled with illusions, animatronics, and live actors.",
,Banana Lounge & Hammock Forest,Banana Hammocks,"Friday, June 5",12:00:00 AM,12:00:00 AM,Event,Come relax! Open 24 hours! \nNo Shoes inside!,
,Guided Journey into the Elven Realm,The Faerie Portal (Reconnect Camp),"Friday, June 5",12:00:00 AM,12:30:00 AM,Event,"Wind down from the party with a guided meditation. Step through the Portal with me to meet the elves and explore their bioluminescent realm as they support us in our Regenesis. We wash away the old outdated versions of us and they nurture our new growth, celebrating the You that you get to discover anew.",
,Gifting Table,Grotto - Open Community Space,"Friday, June 5",09:00:00 AM,09:00:00 PM,Workshop,Gifting Table for people to enjoy,
,Breakfast delights,A Little Bit All Over The Place,"Friday, June 5",10:00:00 AM,11:00:00 AM,Food,"More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.",
,Ice Sales 🧊,DPW (Dept of Public Works),"Friday, June 5",10:00:00 AM,02:00:00 PM,Other,"7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.",
,"Morning Breathwork, Meditation, and Slo-Flow Yoga",Sunshine Yoga Cafe,"Friday, June 5",10:00:00 AM,11:00:00 AM,Chill,"This is your time for an internal reset and a space to find complete calm. \n\nBring your yoga mat and sit under our canopy for breathwork, meditation, and yin yoga. We will gently stretch our minds and bodies, allowing us to fully welcome in all that this beautiful day has to offer.",
,Elven Elixirs,ReConnect Camp,"Friday, June 5",11:00:00 AM,03:00:00 PM,Food,Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.,
,Pole Abiding 101,Abiding Grove,"Friday, June 5",11:00:00 AM,12:30:00 PM,Workshop,"Pole Abiding 101\nFriday • 11:00 AM • ~90 min\nThe Dude way is balance, flow, and not fighting the universe too hard. Join Smooth for a beginner-friendly outdoor pole dance session where style matters less than attitude. Come laugh, move around, and discover that maybe the pole isn't the enemy here. Weather permitting. Bar beverages available because hydration is part of the path.",
,Slow Vinyasa Flow,Sunshine Yoga Cafe,"Friday, June 5",11:15:00 AM,12:15:00 PM,Chill,"Bring your yoga mat and give yourself permission to slow down. \n\nIn this practice, we explore deep presence and juicy, rhythmic movement. \n\nBy slowing down the flow, we create space to breathe deeper, hold poses longer, and honor exactly what our bodies need.",
,"Come as you are, flow as you go - open flow with music and friends",Flow As You Go,"Friday, June 5",12:00:00 PM,08:00:00 PM,Music,"Flow as you go is an interactive collaboration of flow, musical, and visual arts, and we invite you to come as you are, flow as you go! We have djs spinning chill music daily from 12-8pm. So bring some props and enjoy a shaded flow space, or cool off in our oasis  While our flow area will only feature live music from 12-8pm, please note we do have a flow area for use anytime of day!",
,Flogger Making,Sensua,"Friday, June 5",12:00:00 PM,02:00:00 PM,Workshop,Make your own flogger from recycled materials. We supply the materials.,
,Misting station and Igloo!,Bear Necessities,"Friday, June 5",12:00:00 PM,05:00:00 PM,Chill,will have misters for you to walk through to cool off! We also have an air-conditioned igloo you can go in to hide from the heat and sun!,
,Seafood boil brunch!,Bear Necessities,"Friday, June 5",12:00:00 PM,01:00:00 PM,Food,"We will be serving up a Louisiana style seafood boil! complete with crab legs, crawfish, shrimps, sausage, corn, and taters!! served in a kiddie pool with TONS of butter! (until we run out) bring your own mimosas if you want them! we only will be serving sweet tea at our bar!",
,Mid-Day Meditation,Sunshine Yoga Cafe,"Friday, June 5",12:15:00 PM,01:00:00 PM,Chill,"Drop into your highest self with this midday group meditation with your Sangha- your community. Gather under the shade of our canopy to pause, breathe, and realign. \n\nBring your yoga mat and take a break from the midday sun.",
,Beginner Flow Fandamentals,Flow As You Go,"Friday, June 5",01:00:00 PM,02:00:00 PM,Workshop,Beginner Flow Fandamentals\nFans w/ Glytch,
,Way Holder Braiding Circle,ReConnect Camp,"Friday, June 5",01:00:00 PM,02:00:00 PM,Workshop,"Come weave threads and shinies into a section of your hair to anchor in an intention - a goal, project, or simply your chosen life path. \n\nSupplies provided, but if you have any charms or anything you wish to weave in to yours, you're welcome to bring it!",
,Bare & Boozy Cocktail Hour,Nudie Misfits,"Friday, June 5",02:00:00 PM,03:00:00 PM,Food,"Shed your inhibitions (and anything else) for the most liberating happy hour, where birthday suits are encouraged and the drinks flow as freely as the radical self-expression.\nSip cocktails and toast to body positivity, good vibes, and questionable tan lines. No shirt, no shoes, bare butt — no problem!",
,Beginning/Intermediate We Chuckin,Flow As You Go,"Friday, June 5",02:00:00 PM,03:00:00 PM,Workshop,Beginning/Intermediate We Chuckin\nNunchuks w/ Major Tom,
,Gluten Free Friday Tea Party,Garden Party,"Friday, June 5",02:00:00 PM,05:00:00 PM,Food,"Radical Inclusion through food! The Gluten Free Friday Tea Party is a celebration of and for all of us with tummy troubles! In order to avoid cross contamination, I am partnering with a bakery that describes itself as:\n\nCertified gluten-free by the National Celiac Association and entirely wheat-free, seed oil-free, nut-free, vegan, dairy-free, egg-free, seed-free & natural dyes only. \n\nWe will have all kinds of safe snacks, tea, and a social hour where you are welcome to say as much about the gory details of your tummy troubles as you want or absolutely nothing at all about them. 🩷❤️🩷",
,Sno Cones!,Banana Hammocks,"Friday, June 5",02:00:00 PM,04:00:00 PM,Event,Give your mouth the pleasure of some delicious sno cones! Bring a cup!,
,Intermediate Breaking Barriers,Flow As You Go,"Friday, June 5",03:00:00 PM,04:00:00 PM,Workshop,Intermediate Breaking Barriers\nHoops w/ Dizzy,
,Metal Hour!,Camp Pretty Lights,"Friday, June 5",03:00:00 PM,04:00:00 PM,Party,"Need a break from the EDM while you are on the Moon? Join Camp Pretty Lights on Friday afternoon at 3pm for some METAL! \nWe'll be blasting some head-banging tunes 🎶 featuring deep cuts of our favorite bands. Bring your ID, we will have refreshments for those old enough!",
,Ranger Training,Ranger HQ,"Friday, June 5",03:00:00 PM,04:30:00 PM,Workshop,"This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.",
,Sound Bath Shavasana,Sunshine Yoga Cafe,"Friday, June 5",03:00:00 PM,04:00:00 PM,Event,"Join us under the canopy for an extended Shavasana paired with an immersive sound bath. \n\nUse this time as a way to hit the reset button, restore your energy, and find calm. \n\nBring your mat, an eye mask or eye covering if you have one and prepare for shaded rest. \n\n*Note: we do have a sound camp nearby, so this sound bath may be a different sound experience- either way this will be a unique and magical experience.",
,The Burn is a Kaleidoscope,Big Fluffy Cloud,"Friday, June 5",03:00:00 PM,04:00:00 PM,Workshop,Join us at Big Fluffy Cloud to make your own open-ended kaleidoscope and see the burn in a whole new way!,
,Principles Round Table,Grotto - Open Community Space,"Friday, June 5",04:00:00 PM,05:00:00 PM,Workshop,Educational workshop discussing the principles.,
,Beginning/Intermediate Shooting Fountains Errwhere,Flow As You Go,"Friday, June 5",05:00:00 PM,06:00:00 PM,Workshop,Beginning/Intermediate Shooting Fountains Errwhere\nDragonstaff / Christal,
,Pickle Back Happy Hour,The Thrifty Pickle,"Friday, June 5",05:00:00 PM,07:00:00 PM,Food,"Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!",
,Tea Service in The Grotto,Grotto - Open Community Space,"Friday, June 5",05:00:00 PM,07:00:00 PM,Food,This year the Tea Monks will providing a mobile tea service. come have tea with a tea monk in the beautiful Grotto. or find us pedaling around The Moon.,
,Cheese Tasting,The French Quarter,"Friday, June 5",06:00:00 PM,07:30:00 PM,Food,Come to the French Quarter to taste a selection of fancy and interesting cheeses you may not have tried before!,
,Fire Safety Meeting,Effigy Burn Field,"Friday, June 5",06:00:00 PM,07:00:00 PM,Workshop,"Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",
,Too Many Clowns,The Thrifty Pickle,"Friday, June 5",06:00:00 PM,07:30:00 PM,Party,"Are you down to clown? Prove it! Put on your big ol’ shoes and join us! Meet up at 6, walkabout at 7",
,open mic,A Little Bit All Over The Place,"Friday, June 5",06:00:00 PM,09:00:00 PM,Music,we will be hosting an open mic while cooking and serving food.,
,Brother Jon's Birthday,Heathen Life,"Friday, June 5",07:00:00 PM,08:00:00 PM,Food,"Do you know Brother Jon (once known as Beef Supreme,)? Did you know he's a year older as of June 5th? Well, now you do and you are invited to his birthday party. There will be music, booze, snacks, merry making, and Brother Jon.",
